Done? (Y),Company/Organization,Test Name,Select,*URL,Test Type (Lab or Kit),Country of Origin,US Regulatory Status,Category,Authorized Setting(s) per FDA,Technology,Analyte,Assay,Specimen Type,Transport Media,Gene,Antigen,Sample Prep,Detection,TAT,Analytical Sensitivity (LOD),LOD of FDA Reference Panel (NDU/mL),Cross- Reactivity,PPA/Sensitivity,PPA Sample Size,PPA Specimen Type,NPA/Specificity,NPA Sample Size,NPV @ 5% prevalence,PPV@ 5% prevalence,Manufacturer's Validation Notes,External Quality Control,Process (internal) Control,Positive Control,*Publications,*IFU,*Letter of Authorization (EUA),Creation Date,Modified Date,,,Needs Review
,"Everlywell, Inc.",Everlywell COVID-19 Test Home Collection Kit,,https://www.everlywell.com/products/covid-19-test/,Collection,USA,"EUA granted May 15, 2020",Laboratory,NA,Home Collection Kit,RNA,NA,Nasal swab,Saline,NA,NA,NA,NA,NA,NA,,NA,,,NA,,,0.00%,0.00%,,NA - collection kit,NA,NA,NA,ND,https://www.fda.gov/media/138146/download,https://www.fda.gov/media/138144/download,5/18/2020 18:13,6/20/2020 7:48,,
,GeneMatrix,NeoPlex COVID-19 Detection Kit,,http://genematrix.net/2018/subpage.php?p=m1_2_neoplexCOVID19,Kit,South Korea,"EUA granted May 15th, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasopharyngeal, oropharyngeal, midturbinate, and nasal swabs and sputum, tracheal aspirates, and
 bronchoalveolar lavage",UTM,"ORF1ab (RdRp region)
 N",NA,Qiagen QIAamp DSP Viral RNA Mini Kit,ABI 7500 Fast Dx Real-Time PCR Instrument with SDS software version 1.4,ND,50 copies/rxn,,No cross-reactivity predicted in silico,100.00%,120,Contrived,100.00%,120,100.00%,100.00%,,"PPA determined with contrived NP (n=40), OP (n=40), Sputum (n=40) specimens spiked with viral RNA extracted from positive patients. NPA determined with clinical NP (n=40), OP (n=40), Sputum (n=40) specimens confirmed negative for SARS-CoV-2 by a sequencing panel established by the Ministry of Health of Japan",not included,included,included,ND,https://www.fda.gov/media/138100/download,https://www.fda.gov/media/138101/download,5/18/2020 0:18,5/21/2020 0:47,,
,Assurance,ASSURANCE SARS-COV-2 PANEL,,https://assurancescientificlabs.com/coronavirus/,Lab,USA,"EUA granted May 15th, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasal (including Everlywell home collection), nasopharyngeal or oropharyngeal swabs","Saline, Amies",E,NA,Zymo Quick-RNA Viral Kit RNA Extraction Kit with Abnova Precipitor32 or Indical Indimag 48,BioRad CFX96 or CFX384,ND,37 copies/rxn,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,77,Clinical and Contrived,100.00%,78,100.00%,100.00%,,"PPA determined with contrived (n=72) combined NP, OP, nasal specimens spiked with viral genomic RNA and clinical (n=5) specimens. NPA determined with negative NP, OP, nasal specimens",included,included,included,ND,https://www.fda.gov/media/138154/download,https://www.fda.gov/media/138151/download,5/17/2020 23:42,6/20/2020 7:50,,
,Fulgent Therapeutics LLC,Fulgent COVID-19 by RT-PCR Test,,https://www.fulgentgenetics.com/covid19,Lab,USA,"EUA granted May 15, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasal, nasopharyngeal, and oropharyngeal
 swabs and self collected nasal swabs",Saline,N,NA,Qiagen QIAamp Viral RNA Mini Kit or Zymo QuickRNA Viral Kit RNA Extraction Kits,QuantStudio 6 or QuantStudio 7 realtime PCR systems,1 - 2 days (from receiving sample),5 copies/µL,,No cross-reactivity predicted in silico,100.00%,30,Clinical,100.00%,64,100.00%,100.00%,,"PPA determined with 30 clinical NP, OP and mid-turbinate swab specimens that tested positive with an EUA molecular test. NPA determined with 64 negative NP, OP and mid-turbinate swab specimens",ND,included,included,ND,https://www.fda.gov/media/138150/download,https://www.fda.gov/media/138147/download,5/17/2020 21:05,5/21/2020 1:22,,
,"Hologic, Inc",Aptima SARS-CoV-2 assay,,https://www.hologic.com/coronavirus-test,Kit,USA,"EUA granted May 14, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasopharyngeal (NP), nasal, mid-turbinate and oropharyngeal (OP) swab specimens",VTM/UTM,ORF1ab,NA,Hologic Panther or Panther Fusion Systems,Hologic Panther or Panther Fusion Systems,2.4 hours,0.01 TCID50/mL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,50,Clinical,98.20%,54,100.00%,74.52%,,PPA/NPA determined using remnant clinical NP specimens vs Panther Fusion system as reference method.,not included,included,included,ND,https://www.fda.gov/media/138096/download,https://www.fda.gov/media/138097/download,5/17/2020 20:34,5/25/2020 8:42,,
,Rutgers Clinical Genomics Laboratory-Rutgers University copy,ThermoFisher - Applied Biosystems TaqPath COVID-19 Combo Kit,,https://www.rutgers.edu/news/rutgers-launches-genetic-testing-service-new-coronavirus,Lab,USA,"EUA granted Apr 10, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Oropharyngeal swab, nasopharyngeal swab, anterior nasal swab, mid-turbinate nasal swab and saliva","VTM; Spectrum Solutions LLC SDNA-1000
 Saliva Collection Device (saliva only)","ORF1ab
 N
 S",NA,Qiagen QIAamp® DSP Viral RNA Mini Kit,ABI 7500 Fast Dx Real-Time PCR Instrument,under 3 hours,200 copies/mL,,No cross-reactivity predicted in silico,100.00%,60,Clinical and Contrived,100.00%,60,100.00%,100.00%,,PPA determined with 30 contrived clinical NP specimens spiked with SARS-CoV-2 in vitro transcripts (Exact Diagnostics); another 30 prospective clinical saliva specimens were compared to NP (n=26) and OP (n=4) samples. NPA determined with 30 contrived NP specimens spiked with human gDNA (Exact Diagnostics) and 30 prospective clinical saliva specimens compared to NP (n=27) and OP (n=3).,included,included,included,ND,https://www.fda.gov/media/136875/download,https://www.fda.gov/media/136876/download,5/13/2020 17:00,5/14/2020 18:38,,
,"Biocollections Worldwide, Inc.",Biocollections Worldwide SARS-Co-V-2 Assay,,http://www.biocollections.com/,Lab,USA,"EUA granted on May 07, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasal swab,
 nasopharyngeal swab, oropharyngeal swab, nasopharyngeal wash/aspirate or nasal
 aspirate, bronchoalveolar lavage",VTM,N,NA,Abbott m2000 system m2000sp (software version 8.1.8.0),Abbott m2000 system m2000rt (software version 8.1.8.0),ND,1 copy/μL,,No cross-reactivity predicted in silico,100.00%,35,Clinical,100.00%,35,100.00%,100.00%,,PPA determined with clinical NP (n=32) and OP (n=3) specimens (source not disclosed) each assessed for agreement with a positive result from an FDA-authorized EUA test. NPA determined with clinical NP (n=25) and OP (n=10) specimens (source not disclosed) each assessed for agreement with a negative result from an FDA-authorized EUA test. Tests conducted in blinded fashion.,not included,included,included,ND,https://www.fda.gov/media/137897/download,https://www.fda.gov/media/137896/download,5/12/2020 21:49,5/25/2020 9:05,,
,BioMérieux SA,SARS-COV-2 R-GENE,,https://www.biomerieux-diagnostics.com/sars-cov-2-r-gene,Kit,France,"EUA granted on May 06, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasopharyngeal swab, oropharyngeal swab, anterior nasal swab, mid-turbinate nasal swab, nasal aspirate, nasal wash and bronchoalveolar lavage",UTM,"ORF1ab (RdRp region)
 N",NA,"bioMérieux EMAG® (with software version 1.1),
 bioMérieux NucliSENS easyMAG (with software version 2.1),
 QIAgen QIASymphony SP (with software version 4.1),
 Roche MagNA Pure 96 (with software version 3.1)","ABI 7500 Fast(1) (with software version 2.3),
 ABI 7500 Fast Dx(1) (with software version 1.4.), ABI QuantStudio 5 Dx(1) (with software version 1.0), Roche LightCycler 480 (System II) (with software version 1.5), Bio-Rad CFX96 (with software Maestro 1.1), Qiagen Rotor‑Gene Q (with software 2.3)",ND,0.43 TCID 50/mL (380 genomic copies/mL),,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,50,Contrived,100.00%,76,100.00%,100.00%,,"PPA determined with 50 contrived clinical NP specimens in UTM spiked with inactivated SARS‑CoV‑2 (source not disclosed). NPA determined with 76 contrived clinical NP specimens (source not disclosed). All samples were extracted with the EMAG® instrument, following the B31 extraction method protocol
 then amplified on the Applied Biosystems 7500 Fast Dx",not included,included,included,ND,https://www.fda.gov/media/137742/download,https://www.fda.gov/media/137743/download,5/12/2020 21:49,5/25/2020 8:44,,
,Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,,http://www.fast-trackdiagnostics.com/human-line/products/ftd-sars-cov-2/,Kit,Luxembourg,"EUA granted on May 05, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasal swab, nasopharyngeal swab, oropharyngeal swab, nasopharyngeal wash/aspirate or nasal aspirate), Bronchoalveolar lavage (BAL)",VTM,"ORF1ab
 N",NA,bioMérieux NucliSENS® easyMAG® (software version not specified),Applied Biosystems® 7500 Real-Time PCR System (software version not specified),ND,0.0023 TCID50/mL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,44,Clinical,100.00%,30,100.00%,100.00%,,PPA determined with 44 clinical NP specimens (source not disclosed) each assessed for agreement with a positive result from FDA-authorized RT-PCR test. NPA determined with 36 clinical NP specimens (source not disclosed) each assessed for agreement with a negative result from FDA-authorized RT-PCR test. *Note that 1 negative sample was excluded due to protocol deviation and 5 negative samples did not pass criteria for a valid run (internal control failure).,not included,included,included,ND,https://www.fda.gov/media/137690/download,https://www.fda.gov/media/137687/download,5/12/2020 21:49,5/21/2020 0:54,,
,"OPTI Medical Systems, Inc.",OPTI SARS-CoV-2 RT PCR Test,,https://www.optimedical.com/products-services/C19-test.html,Kit,USA,"EUA granted on May 06, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasal swab, nasopharyngeal swab, oropharyngeal swab, sputum, lower respiratory tract aspirates, bronchoalveolar lavage, and nasopharyngeal wash/aspirate or nasal aspirate",VTM,N (N1 and N2 regions),NA,IDEXX RealPCR DNA/RNA Magnetic Bead Kit on the ABI/ThermoFisher KingFisher™ Flex; Machery-Nagel NucleoMag VET Magnetic Extraction Kit on the ABI/ThermoFisher KingFisher™ Duo Prime,"Applied Biosystems® 7500 FAST
 PCR instrument (software v2.0.6), Applied Biosystems® QuantStudio 5 (software v1.5.1), Agilent Mx3005P (MxPro qPCR software v4.10), Bio Molecular Systems Mic qPCR (micPCR software v2.8.10), Roche LightCycler® 480 (with LightCycler 480 SW software v1.5.1)",ND,"0.7 copies/μL (sputum), 0.9 copies/μL (NP swabs)",,No cross-reactivity predicted in silico,100.00%,60,Contrived,100.00%,60,100.00%,100.00%,,"PPA determined with contrived clinical NP (n=30) and sputum (n=30) specimens collected and stored prior to 2020, confirmed negative and then spiked with SARS-CoV-2 RNA (Twist Bioscience part# MT007544.1). NPA determined with clinical NP (n=30) and sputum (n=30) specimens collected and stored prior to 2020.",not included,included,included,ND,https://www.fda.gov/media/137739/download,https://www.fda.gov/media/137737/download,5/12/2020 21:49,5/25/2020 8:48,,
,Sansure BioTech Inc.,Novel Coronavirus (2019-nCoV) Nucleic Acid Diagnostic Kit (PCR-Fluorescence Probing),,http://eng.sansure.com.cn/index.php?g=portal&m=article&a=index&id=81,Kit,China,"EUA granted on May 04, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasopharyngeal swab, oropharyngeal (throat) swab, anterior nasal swab, midturbinate swab, nasal wash, nasal aspirate",Sample Storage Reagent (Use Qiagen QIAamp Viral RNA Mini Kit for samples in VTM/UTM),ORF1ab N,NA,"One step centrifugation and lysis, then sample directly added to master mix using QIAamp Viral RNA Mini Kit",ABI 7500 Real-Time PCR System (software v1.5),ND,200 copies/mL,,No cross-reactivity predicted in silico nor detected in wet lab testing,94.30%,53,Clinical,99.00%,193,99.70%,82.68%,,"PPA determined with 53 clinical OP specimens in Sample Storage Reagent (source not disclosed) each assessed for agreement with a positive result from Real-Time Fluorescent RT-PCR kit for Detecting SARS-2019-nCoV from BGI Genomics. NPA determined with 193 clinical OP specimens (source not disclosed) each assessed for agreement with a negative result from from Real-Time Fluorescent RT-PCR kit for Detecting SARS-2019-nCoV from BGI Genomics. In both positive and negative cases, tests run with assay being evaluated used the Sample Release Reagent RNA extraction while BGI Genomics comparator assay extraction method was the Qiagen QIAamp Viral RNA Mini Kit.",not included,included,included,ND,https://www.fda.gov/media/137651/download,https://www.fda.gov/media/137652/download,5/12/2020 21:49,5/20/2020 23:56,,
,"Sherlock BioSciences, Inc.",Sherlock CRISPR SARS-CoV-2 Kit,,https://sherlock.bio/sherlock-biosciences-receives-fda-emergency-use-authorization-for-crispr-sars-cov-2-rapid-diagnostic/,Kit,USA,"EUA granted on May 06, 2020",Laboratory,H,Molecular,RNA,RT-LAMP,"Nasal swab, nasopharyngeal swab,
 oropharyngeal swab, nasopharyngeal wash/aspirate or nasal aspirate and bronchoalveolar lavage","VTM, UTM, M4RT","ORF1ab
 N",NA,ThermoFisher PureLink Viral RNA/DNA Mini Kit,Biotek Plate Reader running Gen5 3.08 software,~1 hr,6.75 copies/μL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,30,Contrived,100.00%,30,100.00%,100.00%,,"PPA determined with 30 contrived clinical NP specimens collected and stored during 2018-2019 flu season, confirmed negative and then spiked with SARS-CoV-2 viral genomic RNA (source not disclosed). NPA determined with 30 contrived clinical NP specimens collected and stored during 2018-2019 flu season and confirmed negative.",not included,included,included,ND,https://www.fda.gov/media/137746/download,https://www.fda.gov/media/137747/download,5/12/2020 21:49,6/11/2020 11:59,,
,UTMG Pathology Laboratory,UTHSC/UCH SARS-CoV-2-RT-PCR Assay,,https://www.utmedicalcenter.org/covid-19-information/,Lab,USA,"EUA granted on May 03, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasal, nasopharyngeal swab",VTM,N (N1 and N2 regions),NA,Promega Maxwell RSC (software version not specified); Tecan Genesis LH platform,AriaMx Real Time PCR system and Aria software (version not specified),ND,100 PFUs,,No cross-reactivity detected in wet lab testing,96.70%,30,Contrived,100.00%,30,99.83%,100.00%,,PPA determined with 30 contrived clinical nasal specimens spiked with SARS-Related Coronavirus 2 Isolate USA- WAl/2020 (Catalog # NR-52281) viral cell supernatant. NPA determined with 30 NP nasal specimens (source and method not disclosed). Also confirmed 4/5 positive samples and 5 negative samples from above evaluation with Roche cobas SARSCoV-2. A separate analysis not included for PPA or NPA involved 10 positive and 10 negative blinded remnant swabs in VTM tested comparatively against the Roche cobas SARS-CoV-2.,not included,included,included,ND,https://www.fda.gov/media/137656/download,https://www.fda.gov/media/137654/download,5/12/2020 21:49,5/25/2020 8:51,,
,Zymo Research Corporation,Quick SARS-CoV-2rRT-PCR Kit,,https://www.zymoresearch.com/products/quick-sars-cov-2-rrt-pcr-kit,Kit,USA,"EUA granted on May 07, 2020; amended on May 18, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasal swab, nasopharyngeal swag, mid-turbinate nasal swab, oropharyngeal swab, sputum, tracheal aspirates, and bronchoalveolar lavage",ND,N,NA,Zymo Quick-DNA/RNA Viral MagBead extraction kit either manually or on the automated ABI/ThermoFisher KingFisher™ Flex Purification System,Bio-Rad CFX96 Touch Real-Time PCR Detection System using the Bio-Rad CFX Maestro™ 1.1 Version 4.1.2433.1219 software,ND,83 GEC/ml (5 GEC/rxn),,"≥80% homology in silico found for Streptococus pneumoniae, Mycoplasma pneumoniae, Legionella longbeachae,
 and Neisseria meningitidis. Follow up wet lab testing with 1 x 10^6
 cells/sample specimens of these as well Pseudomonas aeruginosa and Candida albicans found 0/3 samples tested positive in all cases.",100.00%,30,Contrived,100.00%,30,100.00%,100.00%,,"PPA determined with 30 contrived clinical sputum specimens collected with DNA/RNA
 Shield™ Saliva Collection Kit and spiked with whole genome SARS-CoV-2 RNA (source not disclosed). NPA determined with clinical sputum (n=21) and OP (n=9) specimens collected from patients experiencing one or more symptoms of respiratory infection under supervision of a healthcare provider, using the DNA/RNA Shield™ Saliva Collection Kit and the DNA/RNA Shield™ Swab Collection Kit, respectively.",not included,included,included,ND,https://www.fda.gov/media/137780/download,https://www.fda.gov/media/137781/download,5/12/2020 21:49,6/1/2020 0:06,,
,Rutgers Clinical Genomics Laboratory at RUCDR Infinite Biologics - Rutgers University,Rutgers Clinical Genomics Laboratory TaqPath SARS-CoV-2-Assay,,https://www.rutgers.edu/news/fda-approves-first-home-saliva-collection-test-coronaviruest,Lab,USA,"EUA granted on May 07, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Oropharyngeal (throat) swab, nasopharyngeal swab, anterior nasal swab, mid-turbinate nasal swab, and bronchoalveolar lavage (BAL) fluid, saliva","VTM; Spectrum Solutions
 LLC SDNA-1000 Saliva Collection Device (saliva only, including home collection)","ORF1ab
 N
 S",NA,"Chemagic Viral DNA/RNA 300 Kit H96 on the PerkinElmer Chemagic 360
 automated specimen processing system","Applied Biosystems QuantStudio 5 Real-Time PCR System equipped with
 software v1.3",ND,200 copies/mL,,No cross-reactivity predicted in silico,100.00%,65,Clinical and Contrived,100.00%,65,100.00%,100.00%,,"PPA determined with 30 contrived clinical NP specimens spiked with SARS-CoV-2 in vitro transcripts or human DNA (Exact Diagnostics); another 30 prospective clinical saliva specimens were compared to NP (n=26) and OP (n=4) samples. 5 clinical NP samples were run comparatively with both this test and CDC 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostic for agreement. Simulated saliva shipping study used residual clinical saliva samples that had already tested positive with Rutgers TaqPath SARS-CoV-2 Assay Panel that were re-tested after simulated summer (n=30), winter (n=30), and control (n=30) temperature cycles. NPA determined with 30 contrived clinical NP specimens spiked with in vitro transcripts or human DNA (Exact Diagnostics) and 30 prospective clinical saliva specimens compared to NP (n=27) and OP (n=3). 5 clinical NP samples were run comparatively with both this test and CDC 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostic for agreement. Simulated saliva shipping study used residual clinical saliva samples that had already tested negative with Rutgers TaqPath SARS-CoV-2 Assay Panel that were re-tested after simulated summer (n=10), winter (n=10), and control (n=10) temperature cycles.",not included,included,included,ND,https://www.fda.gov/media/137782/download,https://www.fda.gov/media/137773/download,5/11/2020 23:38,5/21/2020 0:55,,
,Gnomegen LLC,Gnomegen COVID-19-RT-qPCR Detection Kit,,https://gnomegendx.com/,Kit,USA,"EUA granted on May 08, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,Nasopharyngeal and nasal swab,VTM,N (N1 and N2 regions),NA,Qiagen QIAamp DSP virus kit,"7500 Fast
 Dx Real-Time PCR Instrument (SDS version 1.4)",ND,10 copies/rxn (20µL),,No cross-reactivity predicted in silico,100.00%,60,Clinical and Contrived,100.00%,30,100.00%,100.00%,,"PPA determined with upper respiratory specimens (n=30) positive with another EUA test, and contrived upper respiratory specimens (n=30) spiked with purified whole viral RNA (COV20851-2). NPA determined with 30 negative upper respiratory specimens.",not included,included,included,ND,https://www.fda.gov/media/137895/download,https://www.fda.gov/media/137892/download,5/11/2020 23:37,5/21/2020 0:54,,
,Quidel Corporation,Sofia 2 SARS Antigen FIA,,https://ir.quidel.com/news/news-release-details/2020/Quidel-Receives-Emergency-Authorization-for-Rapid-Antigen-COVID-19-Diagnostic-Assay/default.aspx,Kit,USA,"EUA granted on May 08, 2020","Laboratory, POC","H, M, W",Antigen,Antigen,Lateral Flow,Nasopharyngeal and nasal swab,UTM,NA,N (SARS-CoV and SARS-CoV-2),Manual,Sofia 2,15 min,113 TCID50/mL (swab) 850 TCID50/mL (UTM),,No cross-reactivity detected in wet lab testing,79.70%,64,Clinical,100.00%,127,98.94%,100.00%,,PPA determined with frozen NP in UTM (47/59) and fresh NS (4/5) and NPA determined with NP (n=84) and NS (n=43) compared to EUA PCR-tested clinical specimens,not included,included,not included,ND,https://www.fda.gov/media/137885/download,https://www.fda.gov/media/137886/download,5/11/2020 22:04,5/29/2020 23:28,,
,Southwest Regional PCR Laboratory LLC. dba MicroGen DX,COVID-19 Key,,https://microgendx.com/covid19/,Lab,USA,"EUA granted Apr 23, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasopharyngeal, oropharyngeal, anterior nasal, and mid-turbinate nasal swabs, nasopharyngeal awash/aspirate or nasal aspirates as well as sputum specimens",ND,"N (N1, N2 and N3 regions)",NA,"Zymo Viral RNA Mag
 Bead Kit performed on the Thermo Fisher Scientific King Fisher Flex II extraction platform",Roche Lightcycler 480II with Lightcycler 480 software version 1.5.1 sp3.,ND,"200 copies/mL (sputum), 500 copies/mL (NP)",,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,60,Contrived,100.00%,60,100.00%,100.00%,,PPA determined by contrived sputum (n=30) and NP (n=30) specimens spiked with SARS-CoV-2 positive patient RNA.,included,included,included,ND,https://www.fda.gov/media/137370/download,https://www.fda.gov/media/137369/download,5/5/2020 1:13,5/11/2020 23:30,,
,AIT Laboratories,SARS-CoV-2 Assay,,http://healthtrackrx.com/news-media/ait-laboratories-a-healthtrackrx-company-launches-testing-to-detect-novel-coronavirus-covid-19,Lab,USA,"EUA granted Apr 24, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Upper respiratory specimens such as nasal, midturbinate, nasopharyngeal, and oropharyngeal swab and lower respiratory specimens such as sputum and BAL.",ND,"ORF1ab
 N
 S",NA,Omega Biotek MagBind Universal Pathogen Kit,ThermoFisher Scientific TaqPath COVID-19 Combo Kit run on ABI QuantStudio 12K Flex,ND,1 copy/µL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,55,Clinical,100.00%,55,100.00%,100.00%,,"PPA determined with clinical sputum (n=34), nasal (n=13) and OP (n=8) specimens compared to the CDC 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostic Panel.",included,included,included,ND,https://www.fda.gov/media/137374/download,https://www.fda.gov/media/137373/download,5/5/2020 1:13,5/5/2020 1:26,,
,EUROIMMUN US Inc.,Anti-SARS-CoV-2 Elisa (IgG),,https://www.coronavirus-diagnostics.com/,Kit,USA,"EUA granted May 4th, 2020",Laboratory,H,Serology,IgG,ELISA,Serum or plasma,NA,NA,S,Manual,Microplate reader (manufacturer not specified),ND,NA,,"1/15 positive for Mycoplasma antibody-positive specimens, 1/3 positive for RSV antibody-positive specimens, 2/12 positive for Streptococcus pneumoniae antibody-positive specimens, 2/58 positive for bacterial pneumonia antibody-positive specimens, 1/15 positive for Chlamydophila pneumoniae antibody-positive specimens.",90.00%,30,Clinical,100.00%,80,99.50%,100.00%,,"Sensitivity determined by comparison to PCR positive specimens: >10 days post-symptom onset (28/42), >11 days post-PCR confirmation (30/37), independent validation study (27/30).
 Sensitivity for earlier windows: 13.9% (<11d pso), 21.7% (<5d ppc), 69.4% (<10d ppc).
 Specificity was determined with specimens collected pre-COVID (1415/1445) and during COVID from healthy donors (303/311).",not included,included,included,ND,https://www.fda.gov/media/137609/download,https://www.fda.gov/media/137606/download,5/4/2020 16:06,5/20/2020 22:56,,
,Nationwide Children’s Hospital,SARS-CoV-2 Assay,,https://www.nationwidechildrens.org/family-resources-education/health-wellness-and-safety-resources/covid-19,Lab,USA,"EUA granted Apr 27, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Upper and lower respiratory specimens
 including nasopharyngeal swabs, nasal swabs, mid-turbinate nasal swabs, oropharyngeal swabs,
 nasopharyngeal wash/aspirates, nasal aspirates, bronchoalveolar lavage, lower respiratory
 tract aspirates, and sputum",ND,N (N1 and N2 regions),NA,bioMérieux NucliSENS EasyMAG automated nucleic acid extraction system,ABI QuantStudio 7 Flex Real-Time PCR Instrument with QuantStudio Real-Time PCR software v.1.3,ND,"12.5 copies/rxn (NP), 125 copies/rxn (sputum)",,No cross-reactivity predicted in silico,100.00%,60,Contrived,100.00%,30,100.00%,100.00%,,"PPA determined with contrived NP (n=30) and sputum (n=30) specimens spiked with genomic RNA from SARS-Related Coronavirus 2 Isolate USA_WA1/2020 cultured in Vero cells (University of Texas Medical Branch, World Reference Center for Emerging Viruses and Arboviruses).",included,included,included,ND,https://www.fda.gov/media/137423/download,https://www.fda.gov/media/137424/download,5/4/2020 13:44,5/11/2020 23:31,,
,"Bio-Rad Laboratories, Inc",Platelia SARS-CoV-2 Total Ab assay,,https://www.bio-rad.com/en-us/product/platelia-aspergillus-ag?ID=M4T15K2B7,Kit,USA,"EUA granted Apr 29, 2020",Laboratory,H,Serology,IgA/IgM/IgG,ELISA,Serum and plasma,NA,NA,N (full length),Manual,Microplate reader (manufacturer not specified),ND,NA,,No cross-reactivity detected in wet lab testing,92.20%,51,Clinical,99.60%,687,99.59%,91.70%,,"Sensitivity determined by comparison to PCR positive specimens <9d post-symptom onset (5/8), 9-20d pso (36/37), and >20d pso (3/3).",not included,included,included,ND,https://www.fda.gov/media/137493/download,https://www.fda.gov/media/137494/download,5/4/2020 13:39,5/5/2020 0:26,,
,"LabGenomics Co., Ltd.",LabGun COVID-19 RT-PCR Kit,,http://www.labgenomics.co.kr/eng/invest/news.php?act=view&encData=aWR4PTI3MA==,Kit,South Korea,"EUA granted Apr 29, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasopharyngeal, or oropharyngeal, anterior nasal and mid-turbinate nasal swabs, as well as nasopharyngeal wash/aspirate or nasal aspirate specimens and sputum",VTM,ORF1ab (RdRP region) E,NA,Qiagen QIAamp Viral RNA Mini kit,"ABI 7500 Real-time PCR Instrument system with software version 2.3
 or BioRad CFX96™ Real-time PCR detection system with Bio-Rad CFX Manager 3.1",~ 2.5 hrs (detection),20 copies/µL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,50,Contrived,100.00%,100,100.00%,100.00%,,PPA determined with contrived NP/OP (n=50) and sputum (n=50) specimens spiked with SARS-CoV-2 viral genomic RNA obtained from National Culture Collection for Pathogens of Korea (NCCP No.43326).,not included,included,included,ND,https://www.fda.gov/media/137483/download,https://www.fda.gov/media/137484/download,5/4/2020 13:39,5/11/2020 23:31,,
,"Rheonix, Inc.",Rheonix COVID-19 MDx Assay,,https://rheonix.com/covid-19/,Kit,USA,"EUA granted Apr 29, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasopharyngeal swabs, oropharyngeal (throat) swabs, anterior
 nasal swabs, mid-turbinate nasal swabs, nasal washes, nasal aspirates and bronchoalveolar
 lavage (BAL) fluid samples","UVT, VTM",N (N1 region),NA,Rheonix Encompass MDx® Workstation,Rheonix Encompass MDx® Workstation,<5 hours,625 copies/mL,,No cross-reactivity predicted in silico,100.00%,30,Contrived,100.00%,30,100.00%,100.00%,,PPA determined with contrived NP specimens spiked with SARS-CoV-2 RNA,not included,included,included,ND,https://www.fda.gov/media/137489/download,https://www.fda.gov/media/137490/download,5/4/2020 13:39,5/11/2020 23:31,,
,SEASUN BIOMATERIALS,U-TOP COVID-19 Detection Kit,,http://www.seasunbio.com/english/etc.html#tab01,Kit,South Korea,"EUA granted Apr 27, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Oropharyngeal and nasopharyngeal
 swab specimens, anterior nasal and mid-turbinate nasal swabs, nasopharyngeal wash/aspirate
 or nasal aspirate specimens and sputum",VTM,ORF1ab N,NA,Qiagen QIAamp DSP Viral RNA Mini Kit,"Bio-Rad CFX 96 real-time PCR detection system with software CFX manager V3.1, ABI real-time PCR system 7500 with Software 2.0.6",ND,"1,000 copies/mL",,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,30,Contrived,100.00%,30,100.00%,100.00%,,PPA determined with contrived NP specimens spiked with SARS-CoV-2 RNA from National Culture Collection for Pathogens No. 43326.,not included,included,included,ND,https://www.fda.gov/media/137425/download,https://www.fda.gov/media/137420/download,5/4/2020 13:39,5/25/2020 8:49,,
